year,fit,lwr,upr
2006,90.9043555555556,36,209
2007,13.8442666666667,6,30
2008,65.2424888888889,35,133
2009,43.6776666666667,20,95
2010,59.4986,32,122
2011,55.0501555555556,26,116
2012,93.2361111111111,52,188
2013,65.0573111111111,34,134
2014,82.5677111111111,50,155
2015,40.8868222222222,19,88
2016,101.2146,60,198
2017,84.8941555555556,44,176
2018,98.6231777777778,52,203
2019,74.9606444444444,43,150
2020,64.4682666666667,31,136
2021,154.463866666667,84,316.025000000001
2022,162.560888888889,84,340
2023,120.344177777778,63,247
2024,76.4126222222222,37,162
2025,101.278133333333,55,207
