SITE,YEAR,REP,BATCH,RM,SHORE,SET_SAMP,Habitat,DATE,LAT_MIDPT,LONG_MIDPT,NUMBER,SEX,DOY,DAY
80,2006,1,200617640,80,NA,1,NA,2006-06-19,41.7757200200167,-73.9548345103694,7,9,170,Mon
83,2006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2007,1,200717576,80,NA,NA,NA,2007-06-19,41.7754359193625,-73.954587076433,0,NA,170,Tue
83,2007,1,200717571,83,NA,NA,NA,2007-06-18,41.8202075630623,-73.9458767698139,0,NA,169,Mon
81,2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2008,1,200817311,83,3,1,NA,2008-06-10,NA,NA,0,NA,162,Tue
81,2008,1,200817323,81,3,1,NA,2008-06-16,NA,NA,1,9,168,Mon
80,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2009,1,200917200,83,3,1,NA,2009-06-08,41.8178548478059,-73.9462145189637,1,1,159,Mon
81,2009,1,200917212,81,3,1,NA,2009-06-17,41.7822977468155,-73.9483733550394,0,NA,168,Wed
80,2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2010,1,201017502,83,3,1,NA,2010-06-04,NA,NA,1,1,155,Fri
81,2010,1,201017534,81,3,1,NA,2010-06-21,NA,NA,1,1,172,Mon
80,2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2011,1,201117501,83,3,1,NA,2011-06-08,41.8152771799545,-73.9460039535795,0,NA,159,Wed
81,2011,1,201117513,81,3,1,NA,2011-06-15,41.7854770340793,-73.9504119617079,6,1,166,Wed
80,2012,1,201217517,80,3,1,NA,2012-06-12,41.780810105308,-73.950154534146,5,1,164,Tue
83,2012,1,201217501,83,3,1,NA,2012-06-04,41.8172650034718,-73.9466937642521,1,1,156,Mon
81,2012,1,201217507,81,3,1,NA,2012-06-06,41.7908873350553,-73.9490152577202,5,1,158,Wed
80,2013,1,201317507,80,3,1,NA,2013-06-06,41.7838759718269,-73.948789337506,2,1,157,Thu
83,2013,1,201317517,83,3,1,NA,2013-06-12,41.8142481838785,-73.9465763301523,0,NA,163,Wed
81,2013,1,201317504,81,3,1,NA,2013-06-05,41.7856313433381,-73.9498950039283,1,1,156,Wed
80,2014,1,201417508,80,3,1,NA,2014-06-16,41.774554476,-73.950354271,0,NA,167,Mon
83,2014,1,201417501,83,3,1,NA,2014-06-09,41.81519011,-73.946408657,0,NA,160,Mon
81,2014,1,201417505,81,3,1,NA,2014-06-16,41.793586342,-73.947571982,0,NA,167,Mon
80,2015,1,201517507,80,3,2,NA,2015-06-09,41.772102015,-73.949710876,0,NA,160,Tue
83,2015,1,201517501,83,3,1,NA,2015-06-05,41.818283368,-73.946498428,3,1,156,Fri
81,2015,1,201517537,81,3,1,NA,2015-06-22,41.789943399,-73.950346392,1,1,173,Mon
80,2016,1,201617511,80,3,1,NA,2016-06-07,41.7782285309956,-73.9493978493949,1,1,159,Tue
83,2016,1,201617501,83,3,1,NA,2016-06-02,41.8184788475751,-73.9457479499064,13,9,154,Thu
81,2016,1,201617509,81,3,1,NA,2016-06-07,41.7810441797989,-73.94895855434,5,1,159,Tue
80,2017,1,201717519,80,3,1,NA,2017-06-11,41.7739995931106,-73.9498999589088,0,NA,162,Sun
83,2017,1,201717526,83,3,1,NA,2017-06-13,41.8154058236905,-73.945864110068,7,1,164,Tue
81,2017,1,201717513,81,3,1,NA,2017-06-08,41.7798703756497,-73.9496900864822,1,9,159,Thu
80,2018,1,201817513,80,3,1,NA,2018-06-07,41.7752547941845,-73.94937882081,1,2,158,Thu
83,2018,1,201817510,83,3,1,NA,2018-06-06,41.8195649791373,-73.9460660849568,1,1,157,Wed
81,2018,1,201817519,81,3,1,NA,2018-06-11,NA,NA,0,NA,162,Mon
80,2019,1,201917504,80,3,1,NA,2019-06-04,41.774518,-73.94991,1,1,155,Tue
83,2019,1,201917533,83,3,1,NA,2019-06-18,41.815152,-73.946421,0,NA,169,Tue
81,2019,1,201917501,81,3,1,NA,2019-06-03,41.778076,-73.949259,4,1,154,Mon
80,2020,1,202017506,80,3,1,NA,2020-06-18,41.77531,-73.94984,4,1,170,Thu
83,2020,1,202017501,83,3,1,NA,2020-06-16,41.8171,-73.9467,0,NA,168,Tue
81,2020,1,202017503,81,3,1,NA,2020-06-17,41.77454,-73.94959,3,1,169,Wed
80,2021,1,202117501,80,3,1,NA,2021-06-02,41.77783,-73.94921,5,9,153,Wed
