SITE,YEAR,REP,BATCH,RM,SHORE,SET_SAMP,DATE,HABITAT,NUMBER,SEX,DOY,DAY,DOY2
37-3,2004,1,20045001,37,3,1,2004-03-08,SD,0,NA,68,Mon,68-1
36-1,2004,1,20045012,36,1,1,2004-03-11,SD,0,NA,71,Thu,71-1
37-1,2004,1,20045018,37,1,1,2004-03-15,SD,0,NA,75,Mon,75-1
36-3,2004,1,20045021,36,3,1,2004-03-23,SD,2,9,83,Tue,83-1
39-3,2004,1,20045030,39,3,1,2004-03-25,SD,1,9,85,Thu,85-1
35-3,2004,1,20045038,35,3,1,2004-03-29,SD,0,NA,89,Mon,89-1
38-3,2004,1,20045043,38,3,1,2004-03-30,SD,1,9,90,Tue,90-1
39-1,2004,1,20045078,39,1,1,2004-04-21,SD,2,9,112,Wed,112-1
38-1,2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-1,2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-3,2005,1,20055016,37,3,1,2005-03-18,SD,3,9,77,Fri,77-1
36-1,2005,1,20055011,36,1,1,2005-03-16,SD,0,NA,75,Wed,75-1
37-1,2005,1,20055052,37,1,1,2005-04-13,SD,1,9,103,Wed,103-1
36-3,2005,1,20055017,36,3,1,2005-03-21,SD,2,9,80,Mon,80-1
39-3,2005,1,20055023,39,3,1,2005-03-23,SD,4,9,82,Wed,82-1
35-3,2005,1,20055037,35,3,1,2005-04-06,SD,2,9,96,Wed,96-1
38-3,2005,1,20055022,38,3,1,2005-03-22,SD,1,9,81,Tue,81-1
39-1,2005,1,20055001,39,1,1,2005-03-10,SD,0,NA,69,Thu,69-1
38-1,2005,1,20055007,38,1,1,2005-03-15,SD,0,NA,74,Tue,74-1
35-1,2005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-3,2006,1,200617025,37,3,1,2006-03-23,SD,2,9,82,Thu,82-1
36-1,2006,1,200617064,36,1,1,2006-04-07,SD,0,NA,97,Fri,97-1
37-1,2006,1,200617053,37,1,1,2006-04-04,SD,0,NA,94,Tue,94-1
36-3,2006,1,200617001,36,3,1,2006-03-13,SD,0,NA,72,Mon,72-1
39-3,2006,1,200617035,39,3,1,2006-03-27,SD,0,NA,86,Mon,86-1
35-3,2006,1,200617017,35,3,1,2006-03-21,SD,0,NA,80,Tue,80-1
38-3,2006,1,200617015,38,3,1,2006-03-20,SD,1,9,79,Mon,79-1
39-1,2006,1,200617005,39,1,2,2006-03-14,SD,0,NA,73,Tue,73-2
38-1,2006,1,200617039,38,1,1,2006-03-28,SD,0,NA,87,Tue,87-1
35-1,2006,1,200617007,35,1,1,2006-03-16,SD,0,NA,75,Thu,75-1
37-3,2007,1,200717001,37,3,1,2007-03-14,SD,1,9,73,Wed,73-1
36-1,2007,1,200717031,36,1,1,2007-03-29,SD,1,9,88,Thu,88-1
37-1,2007,1,200717006,37,1,1,2007-03-15,SD,0,NA,74,Thu,74-1
36-3,2007,1,200717011,36,3,1,2007-03-22,SD,0,NA,81,Thu,81-1
39-3,2007,1,200717023,39,3,3,2007-03-27,SD,0,NA,86,Tue,86-3
35-3,2007,1,200717013,35,3,1,2007-03-22,SD,0,NA,81,Thu,81-1
38-3,2007,1,200717002,38,3,1,2007-03-14,SD,1,9,73,Wed,73-1
39-1,2007,1,200717038,39,1,1,2007-04-02,SD,0,NA,92,Mon,92-1
38-1,2007,1,200717003,38,1,1,2007-03-14,SD,0,NA,73,Wed,73-1
35-1,2007,1,200717019,35,1,1,2007-03-26,SD,0,NA,85,Mon,85-1
37-3,2008,1,200817004,37,3,1,2008-03-17,SD,0,NA,77,Mon,77-1
36-1,2008,1,200817005,36,1,1,2008-03-18,SD,0,NA,78,Tue,78-1
37-1,2008,1,200817003,37,1,1,2008-03-17,SD,0,NA,77,Mon,77-1
36-3,2008,1,200817015,36,3,1,2008-03-24,SD,1,9,84,Mon,84-1
39-3,2008,1,200817031,39,3,3,2008-03-28,SD,0,NA,88,Fri,88-3
