BATCH,PROG,WEEK,DATE,MON,DAY,YEAR,LOCATION,RM,SHORE,GEAR,Experimental_Net_ID,BPER,GPER,SET_SAMP,CLDCV,WINDD,WINDV,WAVEH,AIRT,TWTEMP,TCOND,TTDS,TSAL,TDOPERC,TDO,TPH,BWTEMP,BCOND,BTDS,BSAL,BDOPERC,BDO,BPH,AVG_DEPTH,Bottom Line Loc,COMMENTS,SURVEY,TVEL,BVEL,Secchi,Reviewed/Entered,First Check,Second Check,Third Check,Habitat,GPS Point
200617501,12,18,5/1/2006,5,1,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,,,,,,,,,,,,,,,37.5,,"NO YSI, SET THROUGH A FLOOD TIDE",,,,,,,,,,
200617502,12,18,5/1/2006,5,1,2006,HAVERSTRAW BAY,39,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,37.5,,"NO YSI, THIS NET MOVED WHILE SET, PULL LOC. POINT IS ENDB",,,,,,,,,,
200617503,12,18,5/1/2006,5,1,2006,HAVERSTRAW BAY,39,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,37.5,,NO YSI,,,,,,,,,,
200617504,12,18,5/1/2006,5,1,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,32.5,,"NO YSI, WENT ACROSS A STEEP CLIFF",,,,,,,,,,
200617505,12,18,5/1/2006,5,1,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,32.5,,NO YSI,,,,,,,,,,
200617506,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.43,257,,0.12,,9.96,7.61,13.3,257,,0.12,,9.55,7.61,53,,,,,,,,,,,,
200617507,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.43,257,,0.12,,9.96,7.61,13.3,257,,0.12,,9.55,7.61,48,,,,,,,,,,,,
200617508,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.43,257,,0.12,,9.96,7.61,13.3,257,,0.12,,9.55,7.61,51.5,,,,,,,,,,,,
200617509,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.43,257,,0.12,,9.96,7.61,13.3,257,,0.12,,9.55,7.61,15,,SET N TO S,,,,,,,,,,
200617510,12,18,5/2/2006,5,2,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,14.52,273,,0.13,,16.2,7.7,13.7,267,,0.13,,13.9,7.6,40.5,,,,,,,,,,,,
200617511,12,18,5/2/2006,5,2,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,14.52,273,,0.13,,16.2,7.7,13.7,267,,0.13,,13.9,7.6,37,,,,,,,,,,,,
200617512,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.96,283,,0.14,,8.88,7.58,13.56,261,,0.12,,8.71,7.51,55,,,,,,,,,,,,
200617513,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.96,283,,0.14,,8.88,7.58,13.56,261,,0.12,,8.71,7.51,58,,,,,,,,,,,,
200617514,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.19,269,,0.13,,10.18,7.61,13.63,263,,0.13,,9.49,7.5,54.5,,,,,,,,,,,,
200617515,12,18,5/2/2006,5,2,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.19,269,,0.13,,10.18,7.61,13.63,263,,0.13,,9.49,7.5,42,,,,,,,,,,,,
200617516,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.7,252,,0.12,,14.5,7.67,13.4,250,,0.12,,13.62,7.59,61.9,,,,,,,,,,,,
200617517,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.7,252,,0.12,,14.5,7.67,13.4,250,,0.12,,13.62,7.59,45.85,,53 SUBMERGED FISHING LINE,,,,,,,,,,
200617518,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.7,252,,0.12,,14.5,7.67,13.4,250,,0.12,,13.62,7.59,54.1,,,,,,,,,,,,
200617519,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,13.7,252,,0.12,,14.5,7.67,13.4,250,,0.12,,13.62,7.59,40.2,,,,,,,,,,,,
200617520,12,18,5/3/2006,5,3,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,13.96,255,,0.12,,10.47,7.65,13.56,310,,0.23,,9.86,7.56,40,,RUNNING FLOOD TIDE,,,,,,,,,,
200617521,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.6,264,,0.13,,14.53,7.68,14.45,262,,0.13,,12.45,7.61,54.5,,,,,,,,,,,,
200617522,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.6,264,,0.13,,14.53,7.68,14.45,262,,0.13,,12.45,7.61,40.25,,,,,,,,,,,,
200617523,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.6,264,,0.13,,14.53,7.68,14.45,262,,0.13,,12.45,7.61,64,,,,,,,,,,,,
200617524,12,18,5/3/2006,5,3,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,14.6,264,,0.13,,14.53,7.68,14.45,262,,0.13,,12.45,7.61,60.5,,,,,,,,,,,,
200617525,12,18,5/3/2006,5,3,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,13.96,255,,0.12,,10.47,7.65,13.56,310,,0.23,,9.86,7.56,35,,RUNNING FLOOD,,,,,,,,,,
200617526,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.31,274,,0.13,,13.45,7.71,13.97,1372,,0.66,,9.77,7.6,60,,,,,,,,,,,,
200617527,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.31,274,,0.13,,13.45,7.71,13.97,1372,,0.66,,9.77,7.6,44,,,,,,,,,,,,
200617528,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.31,274,,0.13,,13.45,7.71,13.97,1372,,0.66,,9.77,7.6,41,,,,,,,,,,,,
200617529,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,3,3,,1,1,1,,,,,,14.31,274,,0.13,,13.45,7.71,13.97,1372,,0.66,,9.77,7.6,28,,,,,,,,,,,,
200617530,12,18,5/4/2006,5,4,2006,HAVERSTRAW BAY,39,,3,,1,1,1,,,,,,14.21,331,,0.16,,16.15,7.68,13.61,952,,0.47,,9.55,7.62,28.6,,RUNNING EBB,,,,,,,,,,
200617531,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,1,3,,1,1,1,,,,,,15.23,252,,0.12,,9.92,7.68,14.05,280,,0.15,,9.24,7.63,62.5,,,,,,,,,,,,
200617532,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.23,252,,0.12,,9.92,7.68,14.05,280,,0.15,,9.24,7.63,55.5,,,,,,,,,,,,
200617533,12,18,5/4/2006,5,4,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.23,252,,0.12,,9.92,7.68,14.05,280,,0.15,,9.24,7.63,52,,,,,,,,,,,,
200617534,12,18,5/4/2006,5,4,2006,INDIAN POINT,39,1,3,,1,1,1,,,,,,14.9,250,,0.12,,9.87,7.71,13.58,249,,0.12,,9.05,7.59,53.5,,,,,,,,,,,,
200617535,12,18,5/5/2006,5,5,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.04,8.28,,0.41,,15.03,7.88,14.08,4873,,2.73,,9.6,7.53,60.5,,,,,,,,,,,,
200617536,12,18,5/5/2006,5,5,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.04,8.28,,0.41,,15.03,7.88,14.08,4873,,2.73,,9.6,7.53,44.5,,,,,,,,,,,,
200617537,12,18,5/5/2006,5,5,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.04,8.28,,0.41,,15.03,7.88,14.08,4873,,2.73,,9.6,7.53,63,,,,,,,,,,,,
200617538,12,18,5/5/2006,5,5,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.04,8.28,,0.41,,15.03,7.88,14.08,4873,,2.73,,9.6,7.53,66.5,,,,,,,,,,,,
200617539,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.36,7565,,4.2,,7.86,7.69,14.6,8863,,4.96,,7.71,7.56,67,,,,,,,,,,,,
200617540,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.36,7565,,4.2,,7.86,7.69,14.6,8863,,4.96,,7.71,7.56,57.5,,,,,,,,,,,,
200617541,12,19,5/10/2006,5,10,2006,HAV BAY - STONY POINT,39,,3,,1,1,1,,,,,,15.36,7565,,4.2,,7.86,7.69,14.6,8863,,4.96,,7.71,7.56,41.5,,,,,,,,,,,,
