year,fit,lwr,upr
2004,40.3515777777778,30,56
2005,79.1346888888889,59,109
2006,50.6436222222222,37,71
2007,30.2909777777778,21,44
2008,41.2254,29,60
2009,167.603955555556,122,237
2010,155.632711111111,114,219
2011,123.405377777778,91,174
2012,179.655555555556,132,253
2013,68.5644222222222,50,96
2014,242.769888888889,179,339
2015,431.0396,322,599
2016,301.694822222222,221,424
2017,166.905333333333,123,234
2018,401.646911111111,301,557
2019,238.408066666667,176,334
2020,67.2794888888889,49,95
2021,118.6544,86,168
2022,69.0978444444444,50,98
2023,118.722288888889,86,168
2024,99.6481111111111,71,142
2025,45.1581111111111,31,67
