year,fit,lwr,upr
2004,45.5620888888889,33,66
2005,90.1989777777778,65,130
2006,57.9104444444444,41,85
2007,34.8780888888889,24,52
2008,47.6270888888889,32,71.0250000000015
2009,194.528866666667,137,285.025000000001
2010,179.786777777778,128,262
2011,142.449666666667,101,209
2012,207.966066666667,147,303
2013,78.7746666666667,56,115
2014,280.028044444444,199,407
2015,498.308177777778,357,722
2016,350.160066666667,248,510
2017,192.715844444444,137,281
2018,463.292688888889,334,668
2019,275.812244444444,196,403
2020,77.0452444444444,54,113
2021,137.385977777778,97,202
2022,79.8118444444444,56,118
